date,return
2014-11-30,0.011635519414351000
2014-12-31,0.021954092308171000
2015-01-31,0.04088726605224260
2015-02-28,-0.0025112428290965100
2015-03-31,0.01725861669076580
2015-04-30,0.04169672034614160
2015-05-31,0.033973104078552600
2015-06-30,0.011808567427224100
2015-07-31,-0.034296712711723700
2015-08-31,-0.018000336527001500
2015-09-30,0.04244859300243490
2015-10-31,0.06048679384582350
2015-11-30,0.004425442647837300
2015-12-31,-0.011128068116992300
2016-01-31,0.03904059055851630
2016-02-29,-0.018534757459136400
2016-03-31,0.051492028368816400
2016-04-30,0.008987284920489500
2016-05-31,0.04030096220308850
2016-06-30,-0.07014813509500820
2016-07-31,-0.03744600404974710
2016-08-31,-0.05765103830475750
2016-09-30,0.05280791013124860
2016-10-31,0.04813615235947370
2016-11-30,0.019069757993201000
2016-12-31,0.02369364599868220
2017-01-31,-0.022749483402672300
2017-02-28,-0.07743936042570740
2017-03-31,0.03324798542019690
2017-04-30,-0.02091584879987620
2017-05-31,-0.06955420357572520
2017-06-30,0.003758874907665250